customer_id,tenure,monthly_charges,total_charges,num_support_tickets,avg_monthly_usage,contract_type,payment_method,churn
CUST-000000,6,26.21,154.85,2,354,two_year,auto_pay,0
CUST-000001,56,65.83,3654.84,1,315,one_year,bank_transfer,0
CUST-000002,47,32.9,1478.37,2,400,monthly,auto_pay,0
CUST-000003,32,35.23,1077.42,0,473,two_year,bank_transfer,0
CUST-000004,31,83.23,2690.95,1,202,monthly,bank_transfer,1
CUST-000005,62,59.29,3762.62,3,334,monthly,bank_transfer,0
CUST-000006,6,112.19,715.26,2,255,one_year,mailed_check,0
CUST-000007,50,51.92,2546.71,1,477,monthly,credit_card,0
CUST-000008,14,92.62,1324.35,2,183,monthly,credit_card,1
CUST-000009,6,66.11,427.88,1,101,monthly,credit_card,0
CUST-000010,38,86.0,3497.63,0,195,monthly,auto_pay,0
CUST-000011,71,79.97,6154.84,2,313,one_year,auto_pay,0
CUST-000012,53,67.28,3401.08,2,477,monthly,auto_pay,0
CUST-000013,55,115.01,6939.66,1,416,monthly,credit_card,1
CUST-000014,52,54.27,3000.61,3,18,monthly,mailed_check,0
CUST-000015,57,37.72,2276.81,0,259,monthly,mailed_check,0
CUST-000016,37,87.81,3357.86,2,87,monthly,mailed_check,0
CUST-000017,9,104.6,1032.39,4,187,two_year,mailed_check,0
CUST-000018,61,24.03,1448.7,2,472,one_year,bank_transfer,0
CUST-000019,32,64.96,2179.14,1,492,monthly,auto_pay,1
CUST-000020,36,109.25,4089.38,3,85,one_year,bank_transfer,0
CUST-000021,27,94.96,2682.93,1,79,monthly,auto_pay,0
CUST-000022,13,119.18,1627.26,0,351,monthly,bank_transfer,0
CUST-000023,67,73.14,4597.3,1,211,monthly,auto_pay,0
CUST-000024,57,86.0,4754.01,1,222,monthly,mailed_check,0
CUST-000025,47,50.25,2310.86,2,437,one_year,auto_pay,0
CUST-000026,29,114.75,3492.81,1,461,two_year,mailed_check,0
CUST-000027,60,56.63,3544.75,2,451,monthly,mailed_check,0
CUST-000028,39,93.85,3904.18,5,393,monthly,credit_card,0
CUST-000029,32,60.31,2041.28,2,490,one_year,mailed_check,0
CUST-000030,32,76.18,2484.58,0,362,monthly,mailed_check,0
CUST-000031,16,91.98,1365.7,0,443,monthly,bank_transfer,1
CUST-000032,6,70.89,436.86,3,274,two_year,auto_pay,0
CUST-000033,40,110.71,4771.21,0,34,one_year,auto_pay,0
CUST-000034,64,61.93,4077.01,3,410,two_year,mailed_check,0
CUST-000035,4,84.71,365.65,4,465,monthly,mailed_check,0
CUST-000036,62,54.24,3698.53,0,163,monthly,credit_card,0
CUST-000037,60,60.82,3546.44,1,219,monthly,credit_card,0
CUST-000038,20,64.01,1337.37,0,290,two_year,credit_card,0
CUST-000039,46,32.58,1510.66,1,329,monthly,auto_pay,0
CUST-000040,12,29.17,346.89,4,340,monthly,mailed_check,1
CUST-000041,55,86.75,4523.02,1,203,monthly,auto_pay,0
CUST-000042,51,85.55,4141.33,2,428,one_year,credit_card,0
CUST-000043,25,86.29,2021.33,2,408,one_year,auto_pay,0
CUST-000044,4,21.98,90.23,1,471,one_year,bank_transfer,0
CUST-000045,70,52.65,3421.66,1,292,monthly,bank_transfer,0
CUST-000046,32,39.78,1255.49,1,47,one_year,mailed_check,0
CUST-000047,65,97.82,6387.97,1,424,monthly,bank_transfer,1
CUST-000048,49,106.06,5132.74,1,48,monthly,auto_pay,0
CUST-000049,56,44.67,2679.09,0,104,monthly,credit_card,1
CUST-000050,55,86.78,4718.65,1,149,monthly,bank_transfer,0
CUST-000051,14,32.94,422.68,4,100,monthly,auto_pay,0
CUST-000052,26,47.52,1357.14,0,364,two_year,auto_pay,0
CUST-000053,34,33.87,1231.04,3,225,monthly,mailed_check,1
CUST-000054,36,48.35,1796.31,2,117,monthly,bank_transfer,0
CUST-000055,3,87.47,275.86,0,12,one_year,mailed_check,0
CUST-000056,39,111.03,4008.17,1,116,one_year,mailed_check,0
CUST-000057,11,40.25,466.3,5,349,monthly,bank_transfer,0
CUST-000058,54,74.21,3773.11,0,399,one_year,credit_card,0
CUST-000059,49,90.14,4407.12,1,155,monthly,bank_transfer,1
CUST-000060,67,115.29,7226.95,0,45,monthly,auto_pay,0
CUST-000061,54,81.01,4596.58,0,283,one_year,mailed_check,0
CUST-000062,26,45.51,1123.13,1,393,one_year,auto_pay,0
CUST-000063,70,82.55,5493.28,0,44,monthly,auto_pay,0
CUST-000064,29,52.05,1391.48,4,399,monthly,credit_card,1
CUST-000065,23,117.61,2824.38,3,93,monthly,auto_pay,1
CUST-000066,66,59.97,3796.41,0,136,monthly,mailed_check,0
CUST-000067,27,88.54,2399.32,0,315,two_year,bank_transfer,0
CUST-000068,5,22.32,107.86,5,35,monthly,mailed_check,0
CUST-000069,34,60.01,2152.44,0,159,two_year,credit_card,0
CUST-000070,58,107.51,5894.47,2,78,monthly,mailed_check,0
CUST-000071,13,81.02,1146.12,2,115,one_year,mailed_check,0
CUST-000072,33,64.39,2048.94,1,388,monthly,auto_pay,0
CUST-000073,9,113.59,941.31,0,122,monthly,auto_pay,1
CUST-000074,50,105.4,4996.28,0,31,monthly,mailed_check,1
CUST-000075,34,52.22,1624.19,2,115,monthly,bank_transfer,0
CUST-000076,24,74.45,1775.63,1,52,two_year,credit_card,1
CUST-000077,16,68.98,1048.55,0,315,one_year,mailed_check,1
CUST-000078,41,83.22,3675.46,3,486,one_year,credit_card,1
CUST-000079,48,53.41,2572.46,1,92,monthly,auto_pay,0
CUST-000080,68,44.42,2859.48,0,367,one_year,bank_transfer,0
CUST-000081,31,111.27,3415.75,6,187,one_year,mailed_check,1
CUST-000082,11,112.39,1161.12,0,45,one_year,mailed_check,0
CUST-000083,60,104.33,5857.58,0,347,one_year,bank_transfer,1
CUST-000084,45,117.82,5090.52,0,112,one_year,auto_pay,0
CUST-000085,51,94.5,4441.94,0,261,monthly,bank_transfer,0
CUST-000086,7,96.47,633.24,2,258,two_year,bank_transfer,1
CUST-000087,22,96.26,2303.25,1,302,monthly,mailed_check,1
